source_id,name,organization_name,sector,jurisdiction,state,official_domain,notice_list_url,notice_list_type,opportunity_types,keywords,priority,notes
ssc,Staff Selection Commission,Staff Selection Commission (SSC),central,central,,ssc.gov.in,https://ssc.gov.in/,javascript_rendered,jobs|results,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,5,General commission - carries some technical/cyber posts; JS-rendered
upsc,Union Public Service Commission,Union Public Service Commission (UPSC),central,central,,upsc.gov.in,https://upsc.gov.in/,static_html,jobs|results,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,5,IES + specialist recruitment can include cyber/IT posts
ibps,Institute of Banking Personnel Selection,IBPS,banking,national,,ibps.in,https://www.ibps.in/,static_html,jobs|results,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,4,Banking Specialist Officer (IT) route
cert-in,Indian Computer Emergency Response Team,CERT-In (MeitY),central,national,,cert-in.org.in,https://www.cert-in.org.in/,unknown,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,5,CORE national cyber agency - PRD Career DNA names it; verify notice URL
nciipc,National Critical Information Infrastructure Protection Centre,NCIIPC (NTRO),central,national,,ntro.gov.in,https://ntro.gov.in/ntroWeb/loadRecruitmentsHome.do,static_html,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,5,Critical-infra cyber protection; recruits via NTRO portal (found)
ntro,National Technical Research Organisation,NTRO,central,national,,ntro.gov.in,https://ntro.gov.in/ntroWeb/loadRecruitmentsHome.do,static_html,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,5,Technical intelligence - cyber/SIGINT roles; recruitment portal (found)
nic,National Informatics Centre,National Informatics Centre (NIC),central,national,,recruitment.nic.in,https://recruitment.nic.in/,static_html,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,5,PRD Career DNA names it; dedicated recruitment subdomain (found)
nielit,National Institute of Electronics and IT,NIELIT (MeitY),central,national,,nielit.gov.in,https://www.nielit.gov.in/,unknown,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,4,Conducts NIC/CERT-In technical recruitment; verify notice URL
cdac,Centre for Development of Advanced Computing,C-DAC (MeitY),central,national,,cdac.in,https://www.cdac.in/index.aspx?id=careers,unknown,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,4,Has dedicated cyber security groups; verify notice URL
meity,Ministry of Electronics and IT,MeitY,central,national,,meity.gov.in,https://www.meity.gov.in/vacancies,unknown,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,3,Parent ministry - deputation/direct posts; verify notice URL
